AL,19.202830188679247
AK,15.506689936009307
AZ,18.27169811320755
AR,11.647798742138365
CA,22.42142142142142
CO,18.20125786163522
CT,20.971698113207548
DE,20.77358490566038
FL,15.718553459119496
GA,19.330188679245282
HI,10.347169811320756
ID,19.0188679245283
IL,19.59119496855346
IN,20.16509433962264
IA,19.860377358490567
KS,18.9811320754717
KY,19.90188679245283
LA,15.206896551724139
ME,21.82389937106918
MD,19.650943396226417
MA,20.30065359477124
MI,17.91194968553459
MN,19.89433962264151
MS,18.41509433962264
MO,19.431266846361186
MT,21.180102915951974
NE,20.78066037735849
NV,18.52201257861635
NH,23.31
NJ,19.952830188679247
NM,19.962264150943398
NY,20.5188679245283
NC,19.66846361185984
ND,20.833962264150944
OH,20.11320754716981
OK,18.014150943396228
OR,21.308962264150942
PA,21.024258760107816
RI,20.471698113207548
SC,17.952830188679247
SD,21.060377358490566
TN,19.59285714285714
TX,15.91745283018868
UT,20.62264150943396
VT,23.056603773584907
VA,18.99191374663073
WA,19.22911051212938
WV,21.53301886792453
WI,19.485849056603772
WY,23.37735849056604
